?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Bewegwijzeringsbord>	"Bewegwijzeringsbord"@nl	"Bord dat op, langs of boven de verharding is aangebracht om de weggebruiker te helpen bij het bepalen van zijn route."@nl
<https://data.rws.nl/def/otl/Bezinkbassin>	"Bezinkbassin"@nl	"Bassins waarin grovere organische en/of niet organische deeltjes, die zich in traagstromend influent (afvalwater) bevinden, naar de bodem bezinken en vanuit een centraal inzamelpunt worden afgevoerd"@nl
<https://data.rws.nl/def/otl/Biezenvegetatie>	"Biezenvegetatie"@nl	"Begroeiing voornamelijk bestaande uit biezen (oevergewas). Het ruimtelijk voorkomen in samenhang met de groeiplaats en de rangschikking (spontaan, natuurlijk of aangeplant) is hierin bepalend."@nl
<https://data.rws.nl/def/otl/Binnentalud>	"Binnentalud"@nl	"Het hellende vlak van het dijklichaam aan de binnenzijdse zijde van de dijk"@nl
<https://data.rws.nl/def/otl/Binnenverlichting>	"Binnenverlichting"@nl	"Installatie die dient om ruimten in een bouwwerk te verlichten (bron: BB art. 6.2)."@nl
<https://data.rws.nl/def/otl/Bliksemafleider>	"Bliksemafleider"@nl	"Metalen stang of constructie, aangebracht op een bouwwerk waar blikseminslag plaats kan vinden, die dient om schade door blikseminslag te voorkomen door de energie van de bliksem naar de grond te geleiden."@nl
<https://data.rws.nl/def/otl/Bloembak>	"Bloembak"@nl	"Bak in de openbare ruimte waarin planten of struiken zijn geplant voor decoratieve en/of verkeersbegeleidende doeleinden."@nl
<https://data.rws.nl/def/otl/Blokkenmuur>	"Blokkenmuur"@nl	"Muur van stukken materiaal die samen een waterkerende constructie vormen"@nl
<https://data.rws.nl/def/otl/Bodem>	"Bodem"@nl	"Onderkant, ondergrond of bedding van waterwegen, watervlaktes en objecten."@nl
<https://data.rws.nl/def/otl/BodemWaterbodem>	"Bodem (waterbodem)"@nl	"Onder de waterspiegel gelegen grondvlak van een rivier, kanaal, meer, haven, etc., exclusief de overgangtaluds naar de oevers."@nl
<https://data.rws.nl/def/otl/BodembedekkendeHeester>	"Bodembedekkende heester"@nl	"Houtachtige plant met een maximale hoogte van 0,60 m die door haar natuurlijke groeiwijze of plantafstand de bodem volledig bedekt."@nl
<https://data.rws.nl/def/otl/Bodembescherming>	"Bodembescherming"@nl	"Bedekking van de bodem middels stortsteen of zetsteen die erop gericht is de kwaliteit van de bodem te behouden"@nl
<https://data.rws.nl/def/otl/Bodemstabilisatie>	"Bodemstabilisatie"@nl	"Constructie die de onder water gelegen bedding of grond stabiliseert en beschermt"@nl
<https://data.rws.nl/def/otl/Boei>	"Boei"@nl	"Verankerd drijvend lichaam dat vaarwegen markeert ten behoeve van de scheepvaart"@nl
<https://data.rws.nl/def/otl/Boeienlijn>	"Boeienlijn"@nl	"Werpbare lijn met een of meerdere boeien die wordt gebruik bij reddingsacties om drenkeling(en) uit het water te halen."@nl
<https://data.rws.nl/def/otl/Boiler>	"Boiler"@nl	"Toestel dat doormiddel van elektriciteit of verbranding van aardgas of stookolie heet water produceert en dit opslaat in een voorraad- of buffervat tot het moment van consumptie"@nl
<https://data.rws.nl/def/otl/BolEnKnolgewas>	"Bol- en knolgewas"@nl	"Groep planten die voortbestaan door hun voedsel op te slaan in een ondergrondse bol, of een bolvormige ophoping van vlezige bladeren, of een gezwollen stengel of wortel of een knol"@nl
<https://data.rws.nl/def/otl/Bolder>	"Bolder"@nl	"Een vaak cilindrisch constructiedeel van een waterbouwkundige constructie voor het bevestigen van scheepstrossen."@nl
<https://data.rws.nl/def/otl/Bollen>	"Bollen"@nl	"Plant die overwintert door in een al of niet ondergrondse bol, een bolvormige ophoping van vlezige bladeren, voedsel op te slaan, die voor voedsel of sierdoeleinden (bloembollen) worden geteeld."@nl
<https://data.rws.nl/def/otl/BomenHoutopstanden>	"Bomen/houtopstanden"@nl	"Houtachtig gewas dat bestaat uit één of meerdere bomen met een groot wortelgestel en een enkele, stevige, houtige en zich secundair verdikkende, overblijvende stam die zich pas op enige hoogte boven de grond vertakt. De vegetatielaag wordt primair gevormd door de kruinen (takken en bladeren) van bomen, secundair door struiken en door kruidachtigen"@nl
<https://data.rws.nl/def/otl/Bomenlaan>	"Bomenlaan"@nl	"Met bomen aangeplante, rij-en wandelweg bestaande uit één of meer bomenrijen."@nl
<https://data.rws.nl/def/otl/Bomenrij>	"Bomenrij"@nl	"Een aaneenschakeling van aangeplante bomen bestaande uit één of meerdere rijen van bomen"@nl
<https://data.rws.nl/def/otl/Boog>	"Boog"@nl	"Overspanningsconstructie in gebogen vorm, waarbij de krachtsafdracht via de boog naar twee steunpunten leidt."@nl
<https://data.rws.nl/def/otl/Boom>	"Boom"@nl	"Houtgewas met een stam en soms meer stammen, die zich in de regel op grotere hoogte vertakken dan bij struiken; wordt meestal hoger dan 8 meter"@nl
<https://data.rws.nl/def/otl/Boombak>	"Boombak"@nl	"Een bak in de openbare ruimte waarin bomen worden gezet, verplaatst of tentoongesteld voor decoratieve en/of verkeersbegeleidende doeleinden"@nl
<https://data.rws.nl/def/otl/Boomgeleiding>	"Boomgeleiding"@nl	"Een raamwerk dat dient ter ondersteuning van een boom om deze zo te leiden, dat de gewenste (gecultiveerde) vorm van de kroon verkregen wordt."@nl
<https://data.rws.nl/def/otl/Boomgroep>	"Boomgroep"@nl	"(Grond met) een groep bomen, in wild verband, waarvan de kronen elkaar (op den duur kunnen) raken en visueel een geheel (kunnen) vormen."@nl
<https://data.rws.nl/def/otl/Boomweide>	"Boomweide"@nl	"(Grond met) een groep bomen, in regelmatig plantverband, waarvan de kronen elkaar (op den duur kunnen) raken en visueel een geheel (kunnen) vormen."@nl
<https://data.rws.nl/def/otl/Bordes>	"Bordes"@nl	"Horizontale constructie met verhard oppervlak op, aan of langs een wand die een staplaats of passage mogelijk maakt voor personen."@nl
<https://data.rws.nl/def/otl/Borstel>	"Borstel"@nl	"Installatiedeel voor het geautomatiseerd reinigen van de goot van een voor- of nabezinktank"@nl
<https://data.rws.nl/def/otl/Borstwering>	"Borstwering"@nl	"Een tot circa borsthoogte opgetrokken scheidende constructie op een gebouw of kunstwerk om valgevaar tegen te gaan."@nl
